1920 1080
result_img/img_2328_462_0_PLATE.jpg 1352 625
result_img/img_2329_463_0_PLATE.jpg 1350 621
result_img/img_2330_464_0_PLATE.jpg 1345 620
result_img/img_2332_465_0_PLATE.jpg 1350 619
result_img/img_2333_466_0_PLATE.jpg 1347 623
result_img/img_2368_467_0_PLATE.jpg 1118 1063
result_img/img_2369_468_0_PLATE.jpg 1150 1059
result_img/img_2370_469_0_PLATE.jpg 1172 1053
result_img/img_2371_470_0_PLATE.jpg 1201 1054
result_img/img_2372_471_0_PLATE.jpg 1215 1050
result_img/img_2373_472_0_PLATE.jpg 1230 1038
result_img/img_2374_473_0_PLATE.jpg 1250 1037
result_img/img_2375_474_0_PLATE.jpg 1268 1027
result_img/img_2376_475_0_PLATE.jpg 1279 1014
result_img/img_2377_476_0_PLATE.jpg 1302 1002
result_img/img_2378_477_0_PLATE.jpg 1308 992
result_img/img_2379_478_0_PLATE.jpg 1322 985
result_img/img_2380_479_0_PLATE.jpg 1333 977
result_img/img_2381_480_0_PLATE.jpg 1343 970
result_img/img_2382_481_0_PLATE.jpg 1354 958
result_img/img_2383_482_0_PLATE.jpg 1367 949
result_img/img_2384_483_0_PLATE.jpg 1379 937
result_img/img_2385_484_0_PLATE.jpg 1400 930
result_img/img_2386_485_0_PLATE.jpg 1409 919
result_img/img_2387_486_0_PLATE.jpg 1412 912
result_img/img_2388_487_0_PLATE.jpg 1418 901
result_img/img_2389_488_0_PLATE.jpg 1428 892
result_img/img_2390_489_0_PLATE.jpg 1435 884
result_img/img_2391_490_0_PLATE.jpg 1437 874
result_img/img_2392_491_0_PLATE.jpg 1442 866
result_img/img_2393_492_0_PLATE.jpg 1456 857
result_img/img_2394_493_0_PLATE.jpg 1461 852
result_img/img_2395_494_0_PLATE.jpg 1466 846
result_img/img_2396_495_0_PLATE.jpg 1471 836
result_img/img_2397_496_0_PLATE.jpg 1471 827
result_img/img_2398_497_0_PLATE.jpg 1479 821
result_img/img_2399_498_0_PLATE.jpg 1481 816
result_img/img_2400_499_0_PLATE.jpg 1484 812
result_img/img_2401_500_0_PLATE.jpg 1488 809
result_img/img_2402_501_0_PLATE.jpg 1493 804
result_img/img_2403_502_0_PLATE.jpg 1496 797
result_img/img_2404_503_0_PLATE.jpg 1494 790
result_img/img_2405_504_0_PLATE.jpg 1497 784
result_img/img_2406_505_0_PLATE.jpg 1499 776
result_img/img_2407_506_0_PLATE.jpg 1504 772
result_img/img_2408_507_0_PLATE.jpg 1509 766
result_img/img_2409_508_0_PLATE.jpg 1514 763
result_img/img_2410_509_0_PLATE.jpg 1521 758
result_img/img_2411_510_0_PLATE.jpg 1517 751
result_img/img_2412_511_0_PLATE.jpg 1506 746
result_img/img_2413_512_0_PLATE.jpg 1509 742
result_img/img_2414_513_0_PLATE.jpg 1511 736
result_img/img_2415_514_0_PLATE.jpg 1519 732
result_img/img_2416_515_0_PLATE.jpg 1517 728
result_img/img_2417_516_0_PLATE.jpg 1517 724
result_img/img_2418_517_0_PLATE.jpg 1518 721
result_img/img_2419_518_0_PLATE.jpg 1518 718
result_img/img_2420_519_0_PLATE.jpg 1514 714
result_img/img_2421_520_0_PLATE.jpg 1516 713
result_img/img_2422_521_0_PLATE.jpg 1513 710
result_img/img_2423_522_0_PLATE.jpg 1515 705
result_img/img_2424_523_0_PLATE.jpg 1515 702
result_img/img_2425_524_0_PLATE.jpg 1522 698
result_img/img_2426_525_0_PLATE.jpg 1520 694
